daint,4,../data/daint/2023_04_01_00_08_54
daint,30,../data/daint/2023_04_02_00_11_33
daint,30,../data/daint/2023_04_02_00_12_07
daint,30,../data/daint/2023_04_02_00_17_04
daint,32,../data/daint/2023_04_02_00_17_04
daint,18,../data/daint/2023_04_02_00_17_04
daint_sameswitch,4,../data/daint/2023_04_02_19_43_28
daint_twocabs,8,../data/daint/2023_04_02_19_53_02
daint_twocabs_ad3,8,../data/daint/2023_04_02_20_00_49
daint_ad3,16,../data/daint/2023_04_02_20_53_03
daint_ad3,64,../data/daint/2023_04_03_10_03_15
daint_ad3,62,../data/daint/2023_04_03_10_03_15
deep-est,14,../data/deep-est/2023_04_02_21_39_36
deep-est,14,../data/deep-est/2023_04_02_21_40_00
deep-est,16,../data/deep-est/2023_04_02_21_40_00
deep-est,14,../data/deep-est/2023_04_02_21_43_17
deep-est,16,../data/deep-est/2023_04_02_21_43_17
alps,64,../data/alps/2023_04_03_11_15_25
alps,62,../data/alps/2023_04_03_11_15_25
deep-est,32,../data/deep-est/2023_04_03_10_54_54
alps,32,../data/alps/2023_04_03_12_40_00
alps,16,../data/alps/2023_04_03_12_55_04
alps,16,../data/alps/2023_04_03_12_55_56
alps,16,../data/alps/2023_04_03_13_11_09
alps_ad3_void,64,../data/alps/2023_04_03_23_20_59
alps_ad3_void,64,../data/alps/2023_04_03_23_22_17
daint_mh_void,64,../data/daint/2023_04_03_23_26_06
daint_ad3_void,64,../data/daint/2023_04_03_23_56_28
deep-est_void,16,../data/deep-est/2023_04_04_00_29_42
alps_void,64,../data/alps/2023_04_04_10_45_38
alps_void,62,../data/alps/2023_04_04_10_54_56
alps,,../data/alps/2023_04_04_10_59_54
alps_void,64,../data/alps/2023_04_04_11_00_11
alps_void,64,../data/alps/2023_04_04_11_05_03
alps_void,62,../data/alps/2023_04_04_11_05_03
alps_void,32,../data/alps/2023_04_04_11_23_07
alps_void,16,../data/alps/2023_04_04_11_23_07
alps_void,8,../data/alps/2023_04_04_11_23_07
alps_void,4,../data/alps/2023_04_04_11_23_07
deep-est_void,64,../data/deep-est/2023_04_04_10_52_18
deep-est_void,64,../data/deep-est/2023_04_04_11_00_33
deep-est_void,64,../data/deep-est/2023_04_04_11_05_11
deep-est_void,62,../data/deep-est/2023_04_04_11_05_11
deep-est_void,16,../data/deep-est/2023_04_04_11_20_22
deep-est_void,32,../data/deep-est/2023_04_04_11_20_22
deep-est_void,34,../data/deep-est/2023_04_04_11_20_22
deep-est_void,4,../data/deep-est/2023_04_04_11_32_00
deep-est_void,8,../data/deep-est/2023_04_04_11_32_00
daint_ad3_void,64,../data/daint/2023_04_04_18_07_52
daint_ad3_void,62,../data/daint/2023_04_04_18_24_35
daint_ad3_void,512,../data/daint/2023_04_04_22_56_40
daint_ad3_void,512,../data/daint/2023_04_04_23_02_00
daint_ad3_void,512,../data/daint/2023_04_04_23_06_46
daint_ad3_void,4,../data/daint/2023_04_05_08_38_33
daint_ad3_void,4,../data/daint/2023_04_05_09_39_08
daint_ad3_void_sp1,4,../data/daint/2023_04_05_13_23_57
daint_ad3_void_sp1,4,../data/daint/2023_04_05_13_25_05
daint_ad3_void_sp2,4,../data/daint/2023_04_05_13_31_38
daint_ad3_void_spp,4,../data/daint/2023_04_05_14_21_40
daint_ad3_void_spp,4,../data/daint/2023_04_05_14_48_56
daint_ad3_void_spp,4,../data/daint/2023_04_05_14_53_32
daint_ad3_void_spp,4,../data/daint/2023_04_05_15_26_53
daint_ad3_void_spp,64,../data/daint/2023_04_05_15_56_52
daint_ad3_void_spp,4,../data/daint/2023_04_05_16_02_31
daint_ad3_void_spp,64,../data/daint/2023_04_05_16_03_06
daint_ad3_void_spp,64,../data/daint/2023_04_05_16_12_49
alps,64,../data/alps/2023_04_05_20_41_12
alps,62,../data/alps/2023_04_05_20_50_10
leonardo,32,../data/leonardo/2024_02_17_10_12_33
leonardo,,../data/leonardo/2024_02_17_12_40_02
leonardo,32,../data/leonardo/2024_02_17_12_40_10
leonardo,32,../data/leonardo/2024_02_17_12_46_21
einstein,32,../data/einstein/2024_02_17_20_24_34
lumi,32,../data/lumi/2024_02_22_17_29_46
lumi,16,../data/lumi/2024_03_06_14_38_56
lumi,14,../data/lumi/2024_03_06_14_38_56
leonardo,8,../data/leonardo/2024_03_09_15_44_28
leonardo,8,../data/leonardo/2024_03_09_15_45_31
leonardo_UCXIBSL1,8,../data/leonardo/2024_03_09_15_45_57
lumi,16,../data/lumi/2024_03_09_16_23_51
lumi,14,../data/lumi/2024_03_09_16_26_30
local,4,../data/local/2024_03_10_17_18_31
local,4,../data/local/2024_03_10_17_19_00
local,4,../data/local/2024_03_10_17_19_18
local,4,../data/local/2024_03_10_17_19_32
leonardo_ONENIC,6,../data/leonardo/2024_03_10_18_24_21
leonardo_ONENIC,8,../data/leonardo/2024_03_10_18_24_21
leonardo_ONENIC,14,../data/leonardo/2024_03_10_18_59_34
leonardo_ONENIC,16,../data/leonardo/2024_03_10_18_59_34
fugaku,8,../data/fugaku/2024_07_12_12_22_07
fugaku,,../data/fugaku/2024_07_12_12_44_28
fugaku,4,../data/fugaku/2024_07_12_12_44_37
